origin,destination
FLL,MIA
IAD,DCA
BWI,IAD
RIC,DCA
BOS,PWM
PWM,BOS
ATL,BHM
TYS,ATL
GSP,ATL
MCI,DSM
CHS,JAX
EWR,BOS
RDU,GSP
SAV,ATL
JAX,SRQ
MDW,DTW
IAD,LGA
STL,MCI
SDF,ATL
MSP,ORD
PIT,LGA
DCA,PVD
ATL,CVG
ATL,MCO
CLE,EWR
ATL,TPA
OKC,MEM
SFO,SAN
IND,RDU
COS,OMA
TPA,TYS
CLE,ATL
CVG,MSP
BOS,RDU
MEM,CLE
CLT,FLL
PHX,SFO
RDU,MIA
JFK,ATL
ABQ,RNO
TPA,IAH
COS,IAH
MCO,IAH
HOU,IND
PHL,MEM
MCO,EWR
DFW,SLC
MDW,PIE
DSM,EWR
TPA,OKC
MSP,MSY
DTW,IAH
LGA,RSW
RSW,LGA
MIA,SAT
TPA,BOS
PHL,DAL
TPA,MSP
PDX,MSP
PHX,IND
LAX,MSY
LAS,CLE
MKE,SFO
LAX,ATL
SAN,DTW
OAK,DTW
MIA,LAS
JFK,SAN
SAN,JFK
SFO,JFK
JFK,LGA
EWR,JFK
MIA,FLL
LAX,ONT
ONT,LAX
BOS,PVD
BUF,ROC
PBI,MIA
AUS,SAT
SAT,AUS
MKE,ORD
PSP,SNA
EWR,PHL
MCO,TPA
KOA,OGG
OGG,KOA
SDF,CVG
PSP,SAN
PHL,JFK
IND,CVG
HNL,OGG
OGG,HNL
RIC,IAD
BDL,LGA
LIH,HNL
PBI,RSW
RSW,MIA
LAX,SAN
SAN,LAX
PHX,TUS
PSP,LAX
TPA,RSW
IND,SDF
SDF,IND
BDL,EWR
PDX,SEA
SEA,PDX
AUS,IAH
PBI,MCO
EWR,ALB
HNL,KOA
KOA,HNL
BWI,EWR
IND,ORD
MCO,FLL
ORD,IND
BWI,JFK
GSP,CHS
BOS,JFK
JFK,BOS
DAL,AUS
DFW,AUS
MCO,MIA
LAS,ONT
ONT,LAS
SDF,CMH
LIH,OGG
OGG,LIH
PIT,DTW
MIA,TPA
TPA,MIA
BHM,MEM
DAL,IAH
MCI,TUL
CLT,ATL
CVG,DTW
DTW,CVG
BNA,CVG
CVG,BNA
LAX,LAS
DTW,MKE
DAL,SAT
LAS,PHX
MEM,STL
ATL,CHS
PIT,RIC
IND,CLE
LIH,KOA
CVG,ORD
ORD,CVG
ROC,BDL
ELP,TUS
TUS,ELP
STL,BNA
JAX,PBI
BDL,BWI
BWI,BDL
ORD,SDF
LIT,DAL
ROC,DTW
MKE,MSP
GSP,SDF
IAH,MSY
DTW,SDF
CVG,STL
LAX,SJC
SJC,LAX
STL,CVG
CVG,GSP
CVG,MKE
MKE,CVG
SAN,AZA
AZA,ELP
GRR,SDF
ONT,PHX
PHX,ONT
SDF,GRR
CVG,CLT
LAX,SFO
SFO,LAX
OMA,STL
STL,OMA
BOS,ROC
BZN,SLC
PHX,ELP
MSY,MEM
STL,TUL
TUL,OMA
ATL,RDU
BWI,CLT
ONT,SFO
BWI,BOS
LAX,PHX
PHX,LAX
CVG,ATL
IND,MEM
CVG,IAD
SMF,ONT
RNO,LAX
SLC,DEN
MSP,MCI
GSP,IND
CVG,MEM
MEM,CVG
MCO,ATL
