nodeID,airportCode
1,ATL
2,DEN
3,DFW
4,ORD
5,LAX
6,LAS
7,MCO
8,CLT
9,PHX
10,SEA
11,SFO
12,EWR
13,IAH
14,BOS
15,MSP
16,MIA
17,JFK
18,LGA
19,DTW
20,FLL
21,SLC
22,DCA
23,SAN
24,PHL
25,BWI
26,AUS
27,TPA
28,BNA
29,MDW
30,DAL
31,HNL
32,PDX
33,STL
34,IAD
35,HOU
36,SMF
37,MSY
38,RDU
39,SJC
40,OAK
41,SNA
42,RSW
43,MCI
44,SJU
45,SAT
46,IND
47,CLE
48,OGG
49,PIT
50,CVG
51,CMH
52,BUR
53,PBI
54,JAX
55,BDL
56,ONT
57,MKE
58,CHS
59,ANC
60,ABQ
61,OMA
62,BOI
63,MEM
64,RNO
65,ORF
66,BUF
67,RIC
68,OKC
69,KOA
70,ELP
71,SDF
72,GEG
73,SRQ
74,MYR
75,SAV
76,LIH
77,GRR
78,TUS
79,LGB
80,PVD
81,TUL
82,DSM
83,BHM
84,PSP
85,SFB
86,ALB
87,SYR
88,PNS
89,TYS
90,PIE
91,ROC
92,BZN
93,COS
94,GSP
95,VPS
96,LIT
97,PWM
98,FAT
99,AZA
100,MSN
